#logback.classic pattern: %d{HH:mm:ss} [%thread] %-5level %logger{0} - %msg%n
20:40:43 [main] INFO  Application - Указан стандартный пул потоков, executorType = 'STANDARD'
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task54 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task51 is completed.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task52 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task55 is started.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task56 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task53 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task57 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task54 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task58 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task55 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task59 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task56 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task60 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task57 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task61 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task59 is completed.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task58 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task62 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task60 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task63 is started.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task64 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task61 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task65 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task62 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task66 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task63 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task67 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task64 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task68 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task65 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task69 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task66 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task70 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task67 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task71 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task68 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task72 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task69 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task73 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task70 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task74 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task71 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task75 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task72 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task76 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task73 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task77 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task74 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task78 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task75 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task79 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task76 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task80 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task77 is completed.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task78 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task81 is started.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task82 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task80 is completed.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task79 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task83 is started.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task84 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task82 is completed.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task81 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task85 is started.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task86 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task83 is completed.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task84 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task87 is started.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task88 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task85 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task89 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task86 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task90 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task87 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task91 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task88 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task92 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task89 is completed.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task90 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task93 is started.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task94 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task91 is completed.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task92 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task95 is started.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task96 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task93 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task97 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task94 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task98 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task96 is completed.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task95 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task99 is started.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task100 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task97 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task101 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task99 is completed.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task98 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task102 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task100 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task104 is started.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task103 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task101 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task105 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task102 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task106 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task104 is completed.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task103 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task107 is started.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task108 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task105 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task109 is started.
